illegal_moves,illegal_rate,stock_lvl,winner,game_length,step,train_loss,val_loss
10,0.303030303030303,5,stock,33,9000,4.704738140106201,4.584243297576904
18,0.2857142857142857,10,stock,63,9000,4.704738140106201,4.584243297576904
16,0.2909090909090909,15,stock,55,9000,4.704738140106201,4.584243297576904
9,0.2195121951219512,20,stock,41,9000,4.704738140106201,4.584243297576904
23,0.3432835820895522,5,stock,67,9999,4.699410438537598,4.521474838256836
14,0.2545454545454545,10,stock,55,9999,4.699410438537598,4.521474838256836
3,0.2,15,stock,15,9999,4.699410438537598,4.521474838256836
10,0.2564102564102564,20,stock,39,9999,4.699410438537598,4.521474838256836
18,0.4864864864864865,5,stock,37,0,10.460553169250488,10.467838287353516
10,0.4761904761904761,10,stock,21,0,10.460553169250488,10.467838287353516
20,0.4878048780487805,15,stock,41,0,10.460553169250488,10.467838287353516
11,0.4782608695652174,20,stock,23,0,10.460553169250488,10.467838287353516
26,0.4,5,stock,65,1000,5.603020668029785,5.594470024108887
13,0.3333333333333333,10,stock,39,1000,5.603020668029785,5.594470024108887
20,0.425531914893617,15,stock,47,1000,5.603020668029785,5.594470024108887
15,0.3846153846153846,20,stock,39,1000,5.603020668029785,5.594470024108887
29,0.3186813186813186,5,stock,91,10000,4.65050220489502,4.578189849853516
21,0.3134328358208955,10,stock,67,10000,4.65050220489502,4.578189849853516
6,0.1935483870967742,15,stock,31,10000,4.65050220489502,4.578189849853516
12,0.2666666666666666,20,stock,45,10000,4.65050220489502,4.578189849853516
16,0.2909090909090909,5,stock,55,11000,4.460025310516357,4.6216254234313965
16,0.2807017543859649,10,stock,57,11000,4.460025310516357,4.6216254234313965
10,0.2222222222222222,15,stock,45,11000,4.460025310516357,4.6216254234313965
13,0.35135135135135137,20,stock,37,11000,4.460025310516357,4.6216254234313965
