illegal_moves,illegal_rate,stock_lvl,winner,game_length,step,train_loss,val_loss
15,0.4838709677419355,10,stock,31,30,10.129935264587402,10.14322280883789
11,0.4782608695652174,15,stock,23,30,10.129935264587402,10.14322280883789
12,0.48,20,stock,25,30,10.129935264587402,10.14322280883789
16,0.4848484848484848,5,stock,33,30,10.129935264587402,10.14322280883789
11,0.4782608695652174,10,stock,23,30,10.129935264587402,10.14322280883789
9,0.4736842105263157,15,stock,19,30,10.129935264587402,10.14322280883789
11,0.4782608695652174,20,stock,23,30,10.129935264587402,10.14322280883789
10,0.4761904761904761,5,stock,21,15,10.345664024353027,10.316851615905762
25,0.4901960784313725,10,stock,51,15,10.345664024353027,10.316851615905762
16,0.4848484848484848,15,stock,33,15,10.345664024353027,10.316851615905762
13,0.4814814814814814,20,stock,27,15,10.345664024353027,10.316851615905762
18,0.4864864864864865,5,stock,37,15,10.345664024353027,10.316851615905762
20,0.4878048780487805,10,stock,41,15,10.345664024353027,10.316851615905762
27,0.4909090909090909,15,stock,55,15,10.345664024353027,10.316851615905762
13,0.4814814814814814,20,stock,27,15,10.345664024353027,10.316851615905762
31,0.492063492063492,5,stock,63,15,10.345664024353027,10.316851615905762
16,0.4848484848484848,10,stock,33,15,10.345664024353027,10.316851615905762
18,0.4864864864864865,15,stock,37,15,10.345664024353027,10.316851615905762
19,0.4871794871794871,20,stock,39,15,10.345664024353027,10.316851615905762
16,0.4848484848484848,5,stock,33,15,10.345664024353027,10.316851615905762
21,0.4883720930232558,10,stock,43,15,10.345664024353027,10.316851615905762
10,0.4761904761904761,15,stock,21,15,10.345664024353027,10.316851615905762
13,0.4814814814814814,20,stock,27,15,10.345664024353027,10.316851615905762
7,0.4666666666666667,5,stock,15,15,10.345664024353027,10.316851615905762
20,0.4878048780487805,10,stock,41,15,10.345664024353027,10.316851615905762
15,0.4838709677419355,15,stock,31,15,10.345664024353027,10.316851615905762
15,0.4838709677419355,20,stock,31,15,10.345664024353027,10.316851615905762
24,0.4897959183673469,5,stock,49,15,10.345664024353027,10.316851615905762
29,0.4915254237288136,10,stock,59,15,10.345664024353027,10.316851615905762
8,0.4705882352941176,15,stock,17,15,10.345664024353027,10.316851615905762
15,0.4838709677419355,20,stock,31,15,10.345664024353027,10.316851615905762
11,0.4782608695652174,5,stock,23,30,10.112967491149902,10.118033409118652
26,0.490566037735849,10,stock,53,30,10.112967491149902,10.118033409118652
10,0.4761904761904761,15,stock,21,30,10.112967491149902,10.118033409118652
8,0.4705882352941176,20,stock,17,30,10.112967491149902,10.118033409118652
6,0.4615384615384615,5,stock,13,30,10.112967491149902,10.118033409118652
8,0.4705882352941176,10,stock,17,30,10.112967491149902,10.118033409118652
15,0.4838709677419355,15,stock,31,30,10.112967491149902,10.118033409118652
17,0.4857142857142857,20,stock,35,30,10.112967491149902,10.118033409118652
